FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AFG,Afghanistan,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,13.566,21.83,31.022,41.291,52.428,64.675,77.868,92.121,107.434,123.452,141.309,156.596,170.657,184.157,195.038,206.427,216.677,225.364,233.497,240.722,248.876,256.497,263.227,269.266,275.146,280.878,286.164,291.555,296.34,301.33,305.668,310.343,314.607,319.246,323.916,328.984,333.384,337.515,341.372,345.046,347.231,349.147,348.968,346.393,344.398,343.347,344.703,349.656,350.634,352.493,353.597,355.437,361.552,367.477,370.829,373.609,376.737,380.302,385.19,392.093,400.61,412.541,422.626,431.836,440.876,450.68,459.787,474.36,487.668,507.412,524.245,546.281,572.144,600.595
A,Annual,AGO,Angola,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.001,307.65,475.501,645.144,817.141,991.693,1164.913,1337.141,1509.815,1681.833,1859.107,1977.784,2067.079,2141.96,2204.593,2258.324,2305.635,2348.745,2393.343,2432.605,2468.531,2500.868,2531.323,2561.474,2590.909,2612.136,2630.766,2651.348,2672.73,2692.489,2715.232,2736.569,2754.923,2772.877,2790.131,2806.374,2820.546,2835.257,2851.141,2867.271,2888.059,2910.455,2931.531,2951.092,2977.529,3004.008,3035.107,3072.199,3112.812,3154.865,3194.156,3247.279,3308.639,3362.264,3409.032,3457.936,3515.714,3604.349,3739.469,3892.039,4056.824,4191.142,4318.981,4448.844,4570.65,4702.964,4814.4,4920.05,5012.668,5090.824,5155.3,5223.366,5291.953,5359.719
A,Annual,ALB,Albania,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,4.006,6.053,8.208,10.523,12.92,15.41,18.684,22.146,25.881,29.52,32.885,36.359,40.31,44.74,49.028,53.699,58.063,62.919,68.31,73.962,80.075,86.658,93.728,101.834,109.885,119.693,128.503,136.495,144.226,151.022,158.597,166.438,174.587,182.326,190.363,198.529,206.682,215.244,224.722,233.737,241.223,249.605,259.228,268.758,278.404,289.023,296.974,306.885,316.514,326.552,336.489,346.386,356.317,365.835,374.788,385.633,392.921,398.86,402.79,406.088,408.803,411.475,413.875,415.738,417.816,420.846,423.784,426.861,430.351,434.883,438.199,444.793,449.074,455.389,461.624,466.975,472.374,478.399,483.865,489.648,496.184,501.975,507.155,513.072,518.495,523.548,528.195,533.165,538.021,542.669
A,Annual,AND,Andorra,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421,0.839,1.275,1.748,2.217,2.696,3.192,3.696,4.221,4.764,5.317,5.865,6.418,6.973,7.547,8.135,8.688,9.233,9.775,10.292,10.81,11.298,11.782,12.255,12.713,13.174,13.639,14.103,14.594,15.076,15.448,15.851,16.262,16.678
A,Annual,ARE,United Arab Emirates,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,-0.009,-0.011,-0.003,0.01,0.027,0.052,0.077,0.992,2.231,22.748,37.985,59.153,82.593,113.207,144.518,175.574,215.202,253.967,298.736,335.317,372.184,408.976,445.778,481.027,527.221,576.916,623.972,671.448,719.562,773.861,825.653,882.431,940.28,1005.941,1081.011,1153.536,1229.031,1302.025,1382.873,1460.722,1572.903,1674.553,1759.309,1865.818,1977.593,2091.968,2213.635,2346.846,2500.187,2667.945,2852.575,3049.944,3257.166,3470.369,3680.244,3905.839,4132.372,4345.223,4554.871,4774.599,4991.947,5208.149,5434.101,5663.464
A,Annual,ARG,Argentina,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,12.459,25.036,37.838,50.697,64.479,78.741,93.408,108.42,123.643,138.961,154.602,170.368,186.284,202.297,219.341,237.092,255.282,273.64,292.407,311.205,330.261,349.412,368.908,388.49,408.283,428.619,449.399,470.355,491.665,513.062,534.766,557.2,579.435,602.736,627.338,653.049,680.326,708.469,737.903,768.101,798.84,829.807,861.425,893.703,957.337,1041.146,1137.15,1242.218,1354.599,1472.863,1595.181,1721.345,1851.262,1981.84,2126.684,2280.215,2439.064,2603.988,2769.107,2936.428,3102.159,3270.099,3437.848,3609.934,3803.193,4010.417,4225.811,4447.637,4676.376,4909.541,5144.043,5383.538,5624.658,5867.012,6061.267,6224.039,6369.708,6504.121,6631.119,6751.037,6866.374,6978.304,7086.926,7192.511,7270.775,7331.192,7379.359,7418.833,7450.514,7475.394,7494.683,7509.845,7523.496,7530.938,7572.886,7630.415,7696.554,7766.981,7842.843,7924.728,8014.08,8108.664,8201.621,8301.691,8384.078,8500.798,8623.603,8744.552,8877.946,9068.727,9262.111,9516.639,9713.013,9885.346,10046.658,10204.6,10357.968,10511.25,10663.377,10812.269,10963.524,11115.06,11266.238,11424.363,11580.473,11727.814,11875.966,12025.906,12176.684,12320.641,12467.49,12624.964,12786.877,12944.005,13096.036,13297.226,13473.751,13635.917,13797.794,13966.739,14142.989,14329.296,14524.63,14725.043,14921.062,15105.946,15409.957,15788.062,16231.945,16695.416,17164.932,17496.705,17772.482,18275.467,18697.594,19112.799,19451.035,19747.551,20095.434,20393.252,20679.943,20941.883,21225.902,21564.133,21848.482,22154.654,22471.404,22777.85
A,Annual,ARM,Armenia,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,1.048,,,,,2.048,,,3.035,4.02,4.994,5.96,6.915,7.863,8.802,9.734,10.663,11.586,12.502,13.415,14.284,15.14,15.987,16.826,17.66,18.491,19.321,20.147,20.975,21.802,22.63,23.457,24.282,25.108,25.934,26.76,27.585,28.412,29.239,30.069,30.828,31.562,32.28,32.994,33.694,34.393,35.083,35.779,36.479,37.192,37.864,38.514,39.139,39.745,40.353,40.928,41.514,42.11,42.698,43.287,43.848,44.398,44.96,45.527,46.053,46.543,47.035,47.494,47.808,48.096,48.338,48.554,48.759,48.948,49.132,49.287,49.472,49.676,49.881,50.083,51.697,53.942,56.638,59.723,63.208,67.034,71.194,75.574,80.173,84.938,88.529,91.419,93.478,95.213,96.881,98.314,99.595,100.832,101.93,102.995,104.345,106.016,108.173,110.491,113.084,116.069,119.224,122.525,125.73,128.381,130.923,134.076,137.106,140.275,143.432,146.716,150.164,153.782,157.637,161.619,166.222,170.98,175.99,181.34,186.978,192.895,199.092,205.467,212.13,218.879,226.286,233.429,240.688,248.066,255.548,263.666,271.413,279.125,287.892,296.739,305.242,312.289,318.173,321.347,325.395,331.186,335.178,339.719,343.874,347.605,351.803,357.044,362.302,367.921,375.017,385.428,392.912,400.28,407.704,413.67,419.219,425.269,432.01,438.301,444.5,450.578,456.316,462.275,468.409,474.886,481.816,489.335,496.564,504.201
A,Annual,ATG,Antigua and Barbuda,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.058,0.077,0.09,0.091,0.096,0.097,0.081,-0.0,-0.324,-0.626,-0.935,-1.173,-1.415,-1.705,-1.882,-1.835,-1.556,-0.839,0.159,0.521,0.741,0.897,1.01,1.226,1.727,1.93,2.202,2.507,2.734,2.704,2.644,2.776,2.649,2.624,2.717,2.82,2.956,3.11,3.269,3.39,3.522,3.659,3.808,3.973,4.145,4.339,4.559,4.794,5.054,5.33,5.623,5.959,6.319,6.702,7.115,7.569,8.055,8.551,9.057,9.555,10.05,10.561,11.092,11.62,12.16,12.717,13.302,13.883,14.487,15.07,15.675,16.263,16.879
A,Annual,AUS,Australia,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,9.657,21.645,28.554,40.394,52.934,66.675,74.833,90.694,106.083,117.3,133.678,150.313,166.913,185.063,202.079,222.563,241.884,262.143,282.05,304.768,331.121,356.282,388.256,421.128,455.327,493.381,521.963,557.367,592.454,632.65,665.804,699.509,730.518,764.407,800.576,833.698,865.329,901.359,935.275,965.134,1008.564,1057.224,1108.837,1162.118,1216.123,1273.301,1326.719,1389.861,1448.68,1509.073,1571.966,1634.767,1692.222,1754.346,1822.622,1890.149,1955.823,2024.515,2092.463,2156.0,2223.684,2288.016,2355.319,2424.822,2491.897,2559.31,2620.661,2685.249,2754.194,2819.424,2944.534,3088.276,3256.397,3433.628,3621.275,3813.68,4013.581,4222.542,4431.916,4642.948,4797.685,4923.708,5040.916,5146.101,5248.405,5344.797,5438.486,5534.235,5623.556,5714.774,5802.649,5896.036,5990.696,6086.914,6179.983,6269.903,6363.666,6459.665,6558.422,6657.393,6809.829,6988.687,7187.69,7399.638,7627.534,7867.614,8122.133,8390.549,8664.711,8953.528,9215.617,9524.904,9759.189,10047.542,10373.785,10752.844,11081.195,11615.665,11948.855,12202.278,12411.45,12622.906,12772.996,12935.981,13068.218,13283.847,13484.444,13819.6,14128.153,14428.145,14728.689,15094.765,15388.776,15846.104,16182.521,16471.01,16717.91,16937.672,17147.754,17365.062,17624.604,17847.17,18153.99,18485.072,18804.562,19299.004,19811.832,20267.67,20802.826,21296.809,21850.322,22316.529,22742.428,23333.576,23900.211,24358.334,24776.002,25253.434,25922.473,26435.461,27364.854,28036.244,28600.031,29157.547,29633.328,30070.26,30570.277,31067.502,31531.584,31985.23,32469.99,32933.961,33388.113,33841.18
A,Annual,AUT,Austria,OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC,"Cumulative CO2 emissions including land-use change - Total cumulative emissions of carbon dioxide (CO2), including land-use change, since the first year of available data, measured in million tonnes.",T_CO2,Tonnes of CO2,OWID_CB,CO2 and Greenhouse Gas Emissions,6,Millions,A,Normal value,PU,Public,6.267,12.553,19.29,26.395,33.423,40.92,49.018,57.746,68.884,78.567,88.946,99.645,110.399,120.708,130.386,140.404,148.675,158.615,169.561,181.085,193.354,208.766,224.003,240.04,254.487,267.848,281.399,294.26,307.088,321.519,350.653,366.418,382.506,399.654,416.562,434.033,450.888,468.654,486.12,504.554,523.431,544.465,565.166,589.233,613.801,640.705,668.548,698.344,729.685,761.249,796.047,831.529,864.5,897.512,932.099,968.167,1009.927,1060.233,1128.004,1179.398,1243.984,1298.193,1354.202,1418.88,1471.661,1509.672,1520.846,1525.946,1530.456,1534.184,1549.491,1569.612,1588.875,1607.322,1628.006,1647.549,1666.747,1687.455,1709.283,1734.174,1753.357,1771.657,1786.844,1800.962,1814.433,1827.954,1840.961,1855.617,1860.698,1866.167,1872.895,1880.332,1888.466,1897.691,1906.689,1911.003,1923.521,1941.003,1965.298,1991.751,2012.014,2034.261,2055.199,2075.617,2098.579,2126.053,2152.66,2180.218,2206.732,2233.911,2263.81,2294.426,2326.421,2361.474,2398.562,2434.05,2470.359,2507.546,2547.236,2589.386,2637.39,2686.994,2739.243,2795.428,2848.746,2899.2,2954.111,3007.681,3061.522,3120.276,3167.401,3218.699,3267.848,3315.414,3365.83,3416.601,3466.994,3521.146,3571.279,3622.606,3682.521,3746.096,3803.708,3861.949,3920.717,3982.248,4047.278,4113.017,4180.622,4245.757,4310.19,4378.253,4448.109,4524.588,4600.723,4677.988,4753.636,4827.092,4900.114,4966.342,5036.999,5105.727,5171.646,5238.407,5301.479,5366.102,5431.308,5499.127,5564.158,5630.206,5690.354,5754.137,5813.735,5870.665
