source_id   source_name                                        source_url                                                                                                                                                                                                                                                       created_at updated_at
----------- -------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------- ----------
1           OWID                                               https://data360.worldbank.org/en/indicator/OWID_CB_CUMULATIVE_CO2_INCLUDING_LUC                                                                                                                                                                                  2025-09-21 2025-09-21
2           OWID                                               https://data360.worldbank.org/en/indicator/OWID_CB_CONSUMPTION_CO2_PER_CAPITA                                                                                                                                                                                    2025-09-21 2025-09-21
3           OWID                                               https://data360.worldbank.org/en/indicator/OWID_CB_LAND_USE_CHANGE_CO2                                                                                                                                                                                           2025-09-21 2025-09-21
4           OWID                                               https://data360.worldbank.org/en/indicator/OWID_CB_CO2_INCLUDING_LUC_PER_UNIT_ENERGY                                                                                                                                                                             2025-09-21 2025-09-21
5           WB                                                 https://data360.worldbank.org/en/indicator/WB_CLEAR_WATQ_NS                                                                                                                                                                                                      2025-09-21 2025-09-21
6           WHO                                                https://data360.worldbank.org/en/indicator/WB_CLEAR_JMP_DW_SFMS                                                                                                                                                                                                  2025-09-21 2025-09-21
7           WB                                                 https://data360.worldbank.org/en/indicator/WB_CLEAR_SP_URB_TOTL_IN_ZS                                                                                                                                                                                            2025-09-22 2025-09-22
8           GHO                                                https://data360.worldbank.org/en/indicator/WHO_GHO_NUTRITION_ANAEMIA_PREGNANT_PREV                                                                                                                                                                               2025-09-22 2025-09-22
9           UNICEF                                             https://data360.worldbank.org/en/indicator/UNICEF_DW_NT_ANT_HAZ_NE2                                                                                                                                                                                              2025-09-22 2025-09-22
10          WDI                                                https://data360.worldbank.org/en/indicator/WB_WDI_SH_STA_WAST_ZS                                                                                                                                                                                                 2025-09-22 2025-09-22
11          WB_WDI                                             https://data360.worldbank.org/en/indicator/WB_WDI_SH_DYN_MORT                                                                                                                                                                                                    2025-09-22 2025-09-22
12          UMICEF_WB                                          https://data360.worldbank.org/en/indicator/UNICEF_DW_NT_ANT_BAZ_AVG                                                                                                                                                                                              2025-09-22 2025-09-22

(12 rows affected)


Completion time: 2025-10-16T21:06:10.6571622+03:00
