STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),F,Female,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2004,58.5,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Reduced age range Age 0-5 months not covered  unadjusted - Data Source:  Summary report of the national nutrition survey  2004. Kabul  Islamic Republic of Afghanistan  Ministry of Public Health and UNICEF  2005.,ER,External Reanalysis,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),F,Female,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2013,39.5,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Height/length modality (standing/lying) was not collected - Data Source:  Afghanistan National Nutrition Survey 2013,RA,Reanalysed,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),F,Female,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2018,38.1,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Height/length modality (standing/lying) was not collected - Data Source:  Afghanistan Health Survey 2018,RA,Reanalysed,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),M,Male,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2004,60.0,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Reduced age range Age 0-5 months not covered  unadjusted - Data Source:  Summary report of the national nutrition survey  2004. Kabul  Islamic Republic of Afghanistan  Ministry of Public Health and UNICEF  2005.,ER,External Reanalysis,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),M,Male,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2013,41.3,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Height/length modality (standing/lying) was not collected - Data Source:  Afghanistan National Nutrition Survey 2013,RA,Reanalysed,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),M,Male,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2018,38.3,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Height/length modality (standing/lying) was not collected - Data Source:  Afghanistan Health Survey 2018,RA,Reanalysed,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),_T,Total,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,1997,53.2,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Reduced age range  Converted estimate Age 0-5 months not covered  unadjusted for age - Data Source:  Afghanistan 1997 multiple indicator baseline (MICS). Report to UNICEF. Communitiy Information and Epidemiological Technologies Firm (CIET) International  1998.,AD,Adjusted,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),_T,Total,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2004,59.3,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Reduced age range Age 0-5 months not covered  unadjusted - Data Source:  Summary report of the national nutrition survey  2004. Kabul  Islamic Republic of Afghanistan  Ministry of Public Health and UNICEF  2005.,ER,External Reanalysis,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),_T,Total,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2013,40.4,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Height/length modality (standing/lying) was not collected - Data Source:  Afghanistan National Nutrition Survey 2013,RA,Reanalysed,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,UNICEF_DW_NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting),_T,Total,Y0T4,under 5 years old,_T,Total,PT,Percentage,UNICEF_DW_CLUSTER_1,Cluster: Cluster 1,_Z,Not Applicable,_Z,Not Applicable,2018,38.2,UNICEF_DW,UNICEF Data Warehouse,Series Footnote: UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023 - Source Link:  https://data.unicef.org/topic/nutrition/malnutrition/ - Time Coverage:  1997-2018,0,Units,RATIO,Ratio,602,CCYY,Observation Footnote:  Height/length modality (standing/lying) was not collected - Data Source:  Afghanistan Health Survey 2018,RA,Reanalysed,PU,Public
