STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-1.4,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-1.6,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-3.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.4,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-2.9,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-3.5,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-1.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-4.5,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-2.7,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-2.2,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,-3.7,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,NUMBER,Number (real number),602,CCYY,country values range from -12.9 to 2.4,A,Normal value,PU,Public
