STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,PNG,Papua New Guinea,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1983,5.5,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CPV,Cabo Verde,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1985,4.2,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,KIR,Kiribati,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1985,12.6,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MUS,Mauritius,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1985,18.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,NER,Niger,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1985,25.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BGD,Bangladesh,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1986,17.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CHL,Chile,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1986,0.7,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,COL,Colombia,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1986,1.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CIV,Cote d'Ivoire,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1986,8.5,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,DOM,Dominican Republic,WB_WDI_SH_STA_WAST_ZS,"Prevalence of wasting, weight for height (% of children under 5)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1986,2.4,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Prevalence of wasting, weight for height (% of children under 5)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
